FIPS_County,ID,Use_of_Force,Lethal_Force,Police_Shootings
36067,458679,2663,640,4
36069,139853,132,22,0
36071,774470,104,110,1
36073,181676,7,8,1
36075,196049,22,23,0
36077,172005,32,12,1
36079,150939,4,5,0
36083,309932,81,95,0
36087,577520,98,135,0
36089,199593,12,15,0
36091,351117,285,91,1
36093,375059,95,97,0
36095,115723,2,4,0
36097,99097,3,3,0
36099,243985,18,7,0
36101,182021,49,47,0
36103,532326,191,229,0
36105,214745,22,26,0
36107,233795,64,67,0
36109,233643,42,49,0
36111,464267,41,44,0
36113,128446,12,12,0
36115,304188,14,13,0
36117,149008,162,58,1
36119,1405751,817,156,2
36121,156364,13,13,0
36123,156300,18,18,0
37001,36340,180,49,1
37019,99019,214,27,2
37021,101161,880,192,28
37023,99023,25,6,0
37025,14100,128,20,2
37027,99027,64,9,2
37031,99031,146,136,0
37035,113375,147,19,1
37049,46340,83,0,0
37051,22920,296,137,16
37063,19000,459,129,6
37067,110600,187,107,0
37071,124651,882,341,11
37081,127081,3714,755,19
37085,99085,40,17,0
37089,30720,21,4,0
37097,64740,14,12,1
37101,12860,88,0,1
37107,35920,289,33,0
37113,99113,336,23,1
37119,99991,2383,579,28
37125,10680,0,0,0
37127,99127,35,23,0
37129,74440,1078,179,5
37133,34200,229,66,1
37135,110935,251,22,0
37145,99145,67,18,0
37147,99147,194,49,5
37151,99151,584,184,1
37159,58860,177,46,3
37161,99161,11,0,1
37163,13240,66,5,0
37167,680,39,3,0
37169,99169,27,12,0
37171,99171,37,5,0
37179,99179,183,279,166
37183,172360,2346,431,18
37193,74020,91,8,1
38015,106215,2121,145,4
38017,124717,377,201,22
38035,131095,904,61,3
38067,99067,5,6,0
38089,19620,18,21,0
38101,53380,561,63,0
39001,160421,3,2,0
39005,101573,47,15,1
39007,99007,11,4,0
39009,153937,36,26,0
39011,131684,3,2,0
39013,53178,5,2,0
39015,128935,340,46,1
39017,361334,171,30,3
39021,217435,40,14,0
39023,77308,3,1,0
39025,402153,273,43,0
39027,155192,3,2,0
39029,303081,194,65,1
39031,99031,2,0,0
39033,128195,38,12,0
39035,1596679,2551,392,26
39039,120347,91,9,0
39041,136462,4,0,0
39043,206439,152,11,0
39045,41720,484,110,1
39047,99047,15,7,2
39049,433316,10481,1562,84
39051,111040,36,4,0
39053,99053,2,2,0
39055,99055,23,2,0
39057,160037,658,104,2
39059,10716,7,1,0
39061,1092922,4983,1740,36
39063,72856,106,28,0
39067,109867,2,2,0
39069,152619,54,3,0
39071,222649,224,44,0
39073,143705,3,1,0
39079,99079,3,3,0
39081,98568,35,10,0
39083,152185,6,3,0
39085,515081,496,23,2
39087,129369,51,27,0
39089,323293,929,31,0
39091,125599,10,1,0
39093,182183,525,88,2
39095,211977,3967,663,16
39097,143771,21,16,0
39099,317448,695,188,0
39103,148482,77,9,2
39105,163129,4,3,0
39107,69540,1,0,0
39111,185547,2,1,0
39113,214680,1149,641,29
39119,312281,222,51,0
39123,134320,18,3,0
39125,99125,17,12,1
39127,153993,35,11,0
39129,108888,49,18,0
39131,181073,59,28,0
39133,242825,237,26,0
39135,24234,13,4,0
39139,278039,109,15,0
39141,113325,200,52,1
39145,163449,15,5,0
39149,99149,15,4,0
39151,511822,638,95,1
39153,641266,303,94,0
39155,203524,39,14,0
39157,99157,159,15,3
39163,144859,7,3,2
39165,99165,52,40,1
39167,105389,4,1,0
39169,244545,185,27,0
39171,72626,2,2,0
39173,73274,80,15,0
39175,12112,1,0,0
40027,52500,343,173,9
40031,41850,307,144,3
40047,23950,268,103,6
40051,13950,82,17,6
40109,126550,3566,1315,72
40125,66800,281,70,0
40131,14700,175,55,1
40143,84050,1265,1301,46
40147,4450,71,27,4
41003,99003,122,61,1
41005,99005,4350,391,11
41007,10850,23,1,0
41017,104817,657,147,1
41029,47000,206,64,3
41039,192489,2299,979,12
41043,1000,1249,233,2
41047,83750,307,49,0
41051,158051,5096,3438,40
41053,99053,321,60,2
41059,99059,44,7,1
41067,212167,2255,382,14
41071,99071,75,11,0
42003,138600,4100,371,20
42017,50584,116,59,1
42027,73808,335,24,1
42041,32296,45,10,0
42043,45056,78,15,0
42045,47616,21,0,0
42069,69000,52,14,1
42071,41216,577,234,0
42077,84528,218,10,0
42079,85152,323,153,1
42091,137236,536,38,2
42095,6088,402,30,0
44001,88180,93,6,0
44003,170660,484,76,5
44005,128760,123,18,1
44007,421840,7206,1471,38
44009,253960,265,89,12
45003,550,174,39,2
45007,99007,292,39,15
45013,103703,106,40,3
45015,128830,534,163,6
45019,211759,3720,358,21
45035,99035,178,23,2
45041,99041,59,10,3
45043,99043,13,1,2
45047,99047,531,24,0
45051,49075,429,80,4
45057,99057,98,8,3
45063,99063,539,428,15
45075,152155,81,13,2
45077,99077,176,11,3
45079,115079,4131,399,11
45091,160496,328,84,9
46011,7580,12,0,0
46013,100,420,44,0
46081,60020,87,5,0
46099,158119,1173,352,15
46135,73060,306,25,0
47009,46920,563,48,2
47011,99011,154,84,1
47037,52006,1661,649,29
47043,99043,100,0,0
47045,22200,492,21,0
47051,99051,69,11,0
47065,14000,2134,484,23
47093,40000,840,269,12
47125,15160,1829,280,6
47155,99155,749,151,1
47157,76960,6640,1167,46
47163,48100,505,250,6
48005,45072,1204,176,6
48021,99021,5,2,0
48027,111324,826,360,12
48029,65000,2817,1087,89
48037,99037,187,0,2
48039,155387,225,84,7
